Order Date,Region,Category,Sales,Profit
2023-08-19,East,Furniture,124.04,26.22
2023-04-12,Central,Office Supplies,769.14,-73.37
2023-11-26,West,Office Supplies,724.98,190.36
2023-01-29,East,Technology,362.61,295.14
2023-09-26,East,Furniture,876.48,220.59
2023-01-26,East,Technology,894.15,203.23
2023-10-20,West,Office Supplies,779.71,-92.62
2023-01-13,Central,Office Supplies,670.3,254.3
2023-12-02,South,Office Supplies,139.56,257.95
2023-03-15,West,Furniture,743.53,222.92
2023-07-24,Central,Office Supplies,212.48,167.45
2023-05-21,West,Office Supplies,934.26,183.23
2023-08-20,West,Furniture,433.09,291.81
2023-01-11,East,Technology,500.69,184.64
2023-04-08,East,Office Supplies,385.05,163.14
2023-11-13,West,Office Supplies,347.84,190.35
2023-09-16,Central,Office Supplies,111.46,34.87
2023-04-06,East,Office Supplies,972.07,213.1
2023-09-11,South,Office Supplies,610.1,120.22
2023-04-17,West,Technology,526.03,164.05
2023-04-23,East,Technology,136.12,-51.38
2023-03-18,South,Technology,225.71,26.17
2023-08-21,South,Technology,986.6,-91.15
2023-08-14,South,Furniture,496.68,192.5
2023-06-05,East,Office Supplies,249.74,110.0
2023-02-28,West,Furniture,597.01,-98.65
2023-12-05,West,Technology,517.91,278.45
2023-10-11,West,Technology,736.83,75.43
2023-07-24,West,Office Supplies,620.92,151.81
2023-07-28,Central,Office Supplies,858.98,140.33
2023-10-14,East,Office Supplies,470.22,-17.55
2023-12-11,East,Furniture,424.84,16.57
2023-03-24,South,Furniture,982.01,156.84
2023-09-30,West,Technology,717.54,21.25
2023-01-09,West,Office Supplies,492.41,220.35
2023-05-31,South,Technology,191.56,-25.67
2023-12-11,East,Furniture,812.45,-56.4
2023-02-01,West,Office Supplies,696.93,-13.0
2023-01-03,East,Technology,238.98,160.89
2023-06-11,Central,Technology,641.58,140.61
2023-09-19,West,Technology,734.43,-63.96
2023-11-14,South,Technology,320.52,249.69
2023-12-07,East,Furniture,517.32,19.4
2023-06-17,South,Office Supplies,706.23,94.9
2023-10-05,West,Technology,547.16,57.11
2023-09-15,West,Office Supplies,575.91,207.52
2023-11-05,South,Office Supplies,937.17,275.73
2023-04-06,East,Office Supplies,568.66,-16.98
2023-10-11,Central,Furniture,457.0,-71.71
2023-09-03,East,Office Supplies,836.94,5.36
2023-11-02,West,Furniture,543.65,60.91
2023-06-18,Central,Furniture,328.99,75.42
2023-12-28,East,Technology,767.37,154.66
2023-10-09,Central,Furniture,886.82,48.28
2023-03-16,East,Technology,549.32,206.78
2023-11-18,East,Furniture,155.46,-13.58
2023-09-17,East,Office Supplies,462.62,274.14
2023-03-07,South,Furniture,150.34,167.23
2023-07-10,South,Furniture,708.47,0.86
2023-06-08,West,Furniture,975.48,21.54
2023-07-08,East,Technology,422.79,36.05
2023-07-22,Central,Office Supplies,897.96,112.88
2023-07-28,South,Furniture,847.59,95.1
2023-01-13,Central,Office Supplies,110.57,-83.87
2023-11-10,East,Technology,220.4,209.29
2023-08-16,East,Technology,743.37,49.57
2023-01-12,East,Technology,820.06,115.77
2023-09-24,East,Furniture,322.28,77.04
2023-08-05,East,Technology,813.31,43.0
2023-02-26,Central,Furniture,432.53,141.23
2023-05-06,East,Furniture,973.56,-50.57
2023-03-19,Central,Technology,729.41,13.75
2023-08-19,East,Office Supplies,187.49,-37.54
2023-12-31,Central,Technology,352.81,25.9
2023-03-27,South,Technology,230.77,-35.48
2023-06-14,East,Technology,779.9,297.04
2023-10-16,West,Office Supplies,809.3,245.59
2023-11-06,East,Furniture,653.7,109.55
2024-01-01,Central,Furniture,960.4,134.44
2023-02-04,Central,Furniture,218.91,160.2
2023-02-14,East,Office Supplies,110.67,-29.05
2023-08-18,Central,Technology,178.78,-79.31
2023-10-03,South,Furniture,852.11,203.38
2023-10-06,West,Technology,611.97,-14.36
2023-01-31,Central,Office Supplies,942.29,-25.81
2023-06-25,West,Technology,161.56,147.75
2023-05-12,Central,Technology,756.25,120.23
2023-08-01,West,Furniture,427.7,192.9
2023-03-24,West,Furniture,463.72,18.92
2023-04-29,Central,Technology,359.32,-70.16
2023-02-11,South,Furniture,982.6,180.55
2023-06-23,South,Furniture,838.52,-44.95
2023-11-01,Central,Technology,706.49,79.09
2023-11-09,West,Furniture,796.08,98.74
2023-12-23,East,Office Supplies,602.92,90.53
2023-06-20,South,Furniture,463.21,288.78
2023-04-03,West,Furniture,988.83,284.97
2023-04-11,West,Office Supplies,293.96,98.07
2023-07-19,East,Office Supplies,258.79,120.06
2023-06-12,East,Office Supplies,412.19,-36.67
